Component,References,Quantity Per PCB,MF 1 MPN,MF 1,MF 1 Ordering Code,MOQ,x10,x100
1,C10 C12,2,CC1206KKX7R9BB224,YAGEO,C107186,20,20,200
2,C1 C3-C8 C11,8,CL31B105KCHNNNE,Samsung Electro-Mechanics,C13832,20,80,800
3,C2 C9 C13,3,CL31B106KAHNNNE,Samsung Electro-Mechanics,C14860,10,30,300
4,J1,1,B-2100S04P-A110,Ckmtw(Shenzhen Cankemeng),C124378,20,20,100
5,J2,1,U-F-M5DD-Y-L,Korean Hroparts Elec,C91146,5,10,100
6,LED1,1,SLR0564DBA4BD,SUNLIGHT,C225950,1,10,100
7,Q1-Q5,5,DMG3415U-7,Diodes Incorporated,C96616,5,50,500
8,R1 R2 R8-R11,6,RC0805FR-0710KL,YAGEO,C84376,100,100,600
9,R3-R7,5,RC0603FR-0710KL,YAGEO,C98220,100,100,500
10,R12-R20,9,RC0603FR-0710RL,YAGEO,C109318,100,100,900
11,SW1 SW2,2,1TS002B-1900-4300-CT,HYP (Hongyuan Precision),C318823,20,20,200
12,SW3-SW6,4,1TS005F-2500-5001,HYP (Hongyuan Precision),C255812,20,40,400
13,U4,1,AZ1117H-3.3TRE1,Diodes Incorporated,C92517,1,10,100
14,U1,1,ESP-WROOM-02D,Espressif Systems,C473007,1,10,100
15,U2 U3,2,"74HC595D,118",Nexperia,C5947,1,20,200
